分类: 4K频道, 名称: 北京卫视4K, 有效: 0, IPv4: 15, IPv6: 0, 最小延迟: 445 ms, 最高速率: 0.40 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 25.0, 视频编解码器: hevc, 音频编解码器: aac
分类: 4K频道, 名称: 东方卫视4K, 有效: 0, IPv4: 15, IPv6: 0, 最小延迟: 371 ms, 最高速率: 0.49 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: hevc, 音频编解码器: aac
分类: 4K频道, 名称: 北京纪实科教8K, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 673 ms, 最高速率: 0.31 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 4K频道, 名称: 湖南卫视4K, 有效: 2, IPv4: 14, IPv6: 0, 最小延迟: 34 ms, 最高速率: 6.60 MiB/s, 平均速率: 6.54 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 33.33, 视频编解码器: hevc, 音频编解码器: aac
分类: 4K频道, 名称: 江苏卫视4K, 有效: 1, IPv4: 16, IPv6: 0, 最小延迟: 391 ms, 最高速率: 1.03 MiB/s, 平均速率: 1.03 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 37.5, 视频编解码器: hevc, 音频编解码器: aac
分类: 4K频道, 名称: 苏州4k, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 350 ms, 最高速率: 0.83 MiB/s, 平均速率: 0.75 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 4K频道, 名称: 深圳卫视4K, 有效: 0, IPv4: 15, IPv6: 0, 最小延迟: 386 ms, 最高速率: 0.46 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 50.0, 视频编解码器: hevc, 音频编解码器: aac
分类: 4K频道, 名称: 爱上4K, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 386 ms, 最高速率: 0.48 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 25.0, 视频编解码器: hevc, 音频编解码器: aac
分类: 4K频道, 名称: 绚影4K, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 439 ms, 最高速率: 0.05 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 南国都市4K, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 396 ms, 最高速率: 0.43 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 50.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 重温经典, 有效: 5, IPv4: 14, IPv6: 0, 最小延迟: 37 ms, 最高速率: 12.09 MiB/s, 平均速率: 10.92 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 湖南卫视, 有效: 8, IPv4: 36, IPv6: 0, 最小延迟: 40 ms, 最高速率: 11.55 MiB/s, 平均速率: 3.90 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.56, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 浙江卫视, 有效: 8, IPv4: 43, IPv6: 0, 最小延迟: 36 ms, 最高速率: 11.56 MiB/s, 平均速率: 3.69 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.92, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 东方卫视, 有效: 7, IPv4: 44, IPv6: 0, 最小延迟: 39 ms, 最高速率: 11.23 MiB/s, 平均速率: 3.88 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: mp2
